reference,name,listed-building,listed-building-grade,notes,start-date,end-date,entry-date,geometry
LB465,(South West side) Nos.2 AND 3,1342062,II,,1974-05-14,,,"POLYGON ((-0.15591 51.544426,-0.155926 51.544436,-0.155908 51.544447,-0.155979 51.544493,-0.155967 51.5445,-0.155997 51.544518,-0.155929 51.54456,-0.155874 51.544525,-0.155836 51.544526,-0.155807 51.544508,-0.155791 51.544498,-0.155743 51.544468,-0.155743 51.544451,-0.155777 51.54443,-0.155794 51.54442,-0.155828 51.544399,-0.155871 51.544427,-0.155891 51.544414,-0.15591 51.544426))"
LB466,(South East side) Church of St Saviour,1342063,II,,1974-05-14,,,"POLYGON ((-0.157482 51.544921,-0.157484 51.544925,-0.157492 51.544923,-0.157516 51.544961,-0.157499 51.544964,-0.157506 51.544974,-0.157517 51.544971,-0.157542 51.545012,-0.157546 51.545019,-0.157532 51.545021,-0.157539 51.545031,-0.157552 51.545029,-0.157556 51.545037,-0.157565 51.545035,-0.157568 51.545039,-0.157603 51.545032,-0.157621 51.545062,-0.157749 51.545034,-0.157752 51.54504,-0.157741 51.545043,-0.157745 51.545049,-0.157757 51.545046,-0.15776 51.545052,-0.157778 51.545048,-0.157775 51.545043,-0.157852 51.545026,-0.157855 51.545031,-0.15787 51.545028,-0.157867 51.545023,-0.157876 51.545021,-0.157871 51.545014,-0.157862 51.545016,-0.157859 51.545009,-0.157932 51.544993,-0.157941 51.545009,-0.157956 51.545006,-0.157946 51.544989,-0.15801 51.544975,-0.15802 51.544993,-0.158033 51.544989,-0.158026 51.544972,-0.158094 51.544956,-0.158099 51.544962,-0.158118 51.544959,-0.158114 51.544953,-0.158146 51.544946,-0.15815 51.544952,-0.15816 51.54495,-0.158148 51.544931,-0.158132 51.544904,-0.158197 51.544892,-0.15819 51.544879,-0.158234 51.544891,-0.158329 51.544871,-0.158349 51.544846,-0.158337 51.544824,-0.158326 51.5448,-0.158319 51.544786,-0.158272 51.544773,-0.158173 51.544791,-0.158157 51.544817,-0.15809 51.544829,-0.158086 51.544821,-0.158067 51.544825,-0.158063 51.544815,-0.158061 51.544813,-0.158058 51.54481,-0.158053 51.544808,-0.15805 51.544807,-0.158047 51.544807,-0.158046 51.544807,-0.158044 51.544807,-0.158037 51.544809,-0.158028 51.544791,-0.158046 51.544788,-0.15804 51.544775,-0.158017 51.544779,-0.158012 51.544769,-0.158004 51.54477,-0.157994 51.544772,-0.158 51.544784,-0.157948 51.544794,-0.157942 51.544782,-0.157937 51.544783,-0.157923 51.544786,-0.157931 51.5448,-0.15791 51.544804,-0.157916 51.544817,-0.15794 51.544812,-0.157944 51.544819,-0.157934 51.544821,-0.157933 51.544818,-0.157924 51.544819,-0.157926 51.544825,-0.157848 51.54484,-0.157844 51.544835,-0.157832 51.544838,-0.157835 51.544842,-0.157777 51.544854,-0.157775 51.544849,-0.157783 51.544847,-0.15778 51.544844,-0.157772 51.544845,-0.15777 51.544841,-0.157757 51.544844,-0.157759 51.544848,-0.15767 51.544867,-0.157668 51.544864,-0.157658 51.544866,-0.15766 51.544869,-0.157648 51.544871,-0.15765 51.544875,-0.15766 51.544873,-0.157664 51.54488,-0.15761 51.54489,-0.157592 51.544856,-0.157606 51.544835,-0.157578 51.54478,-0.157542 51.544768,-0.157454 51.544785,-0.157436 51.54481,-0.157464 51.544865,-0.157491 51.54486,-0.157515 51.544909,-0.157501 51.544912,-0.157499 51.544908,-0.157488 51.544911,-0.157491 51.544915,-0.15748 51.544917,-0.157482 51.544921))"
LB547,(North side) Nos.3 AND 4,1342064,II,,1999-12-30,,,"POLYGON ((-0.172591 51.559293,-0.172446 51.559274,-0.17246 51.559228,-0.172483 51.559231,-0.172509 51.559157,-0.172633 51.559174,-0.172739 51.559187,-0.172742 51.559178,-0.172792 51.559185,-0.172751 51.55924,-0.17272 51.559236,-0.172709 51.559266,-0.172719 51.559267,-0.17271 51.559293,-0.172696 51.559292,-0.172682 51.559333,-0.172654 51.559329,-0.172657 51.559322,-0.17266 51.559312,-0.172587 51.559302,-0.172591 51.559293))"
LB1707,(East side) Nos.1-6 (Consecutive),1342065,II,,1974-05-14,,,"MULTIPOLYGON (((-0.156526 51.544848,-0.156569 51.544879,-0.156543 51.544893,-0.15656 51.544906,-0.156525 51.544925,-0.156469 51.544955,-0.15641 51.544912,-0.156397 51.544904,-0.156335 51.544861,-0.156418 51.544816,-0.156425 51.544821,-0.156437 51.544814,-0.156456 51.544827,-0.156479 51.544814,-0.156526 51.544848)),((-0.156736 51.54512,-0.156673 51.545074,-0.156765 51.545023,-0.156783 51.545037,-0.156809 51.545023,-0.156854 51.545055,-0.156899 51.545087,-0.156872 51.545101,-0.156888 51.545113,-0.156796 51.545163,-0.156736 51.54512)),((-0.156688 51.544948,-0.156733 51.544982,-0.156711 51.544995,-0.15673 51.545009,-0.156636 51.545058,-0.156572 51.545013,-0.156513 51.544971,-0.156605 51.54492,-0.156624 51.544934,-0.156651 51.544921,-0.156688 51.544948)))"
LB467,"(East side) Nos.7, 8 AND 9",1342066,II,,1974-05-14,,,"POLYGON ((-0.156919 51.54522,-0.156856 51.545167,-0.156962 51.545116,-0.156995 51.5451,-0.157014 51.545117,-0.156981 51.545131,-0.157027 51.545169,-0.157019 51.545172,-0.157118 51.545251,-0.157123 51.545248,-0.157189 51.545301,-0.157086 51.545349,-0.157022 51.545298,-0.157026 51.545295,-0.15693 51.545215,-0.156919 51.54522))"
LB415,(South side) No.131 and attached railings,1342085,II,,1974-05-14,,,"POLYGON ((-0.136838 51.527001,-0.13685 51.527013,-0.136792 51.527035,-0.136781 51.527023,-0.13673 51.526971,-0.136785 51.526949,-0.136838 51.527001))"
LB1067,(East side) No.137 Crown and Anchor Public House,1342086,II,,1974-05-14,,,"POLYGON ((-0.137133 51.526816,-0.137017 51.52686,-0.137001 51.526867,-0.13696 51.526826,-0.136956 51.526823,-0.136948 51.526826,-0.136901 51.526845,-0.136912 51.526857,-0.13692 51.526854,-0.136942 51.526875,-0.136921 51.526883,-0.136887 51.52685,-0.136857 51.526862,-0.136902 51.526907,-0.13695 51.526957,-0.137165 51.526874,-0.137177 51.526856,-0.137133 51.526816))"
LB548,(South side) Nos.16-31 (Consecutive) and attached railings,1342067,II,,1974-05-14,,,"POLYGON ((-0.137506 51.539494,-0.137498 51.539483,-0.137521 51.539475,-0.137536 51.539494,-0.137546 51.53949,-0.137539 51.539483,-0.137563 51.539475,-0.13757 51.539482,-0.137606 51.53947,-0.137599 51.539463,-0.137623 51.539455,-0.13763 51.539463,-0.13766 51.539453,-0.137653 51.539446,-0.137678 51.539437,-0.137685 51.539445,-0.137721 51.539432,-0.137713 51.539423,-0.137739 51.539414,-0.137747 51.539425,-0.137777 51.539413,-0.137768 51.539405,-0.137798 51.539394,-0.137791 51.539386,-0.137809 51.539379,-0.137826 51.539398,-0.137834 51.539394,-0.137827 51.539385,-0.137854 51.539376,-0.137847 51.539367,-0.137869 51.53936,-0.137884 51.539378,-0.137896 51.539374,-0.137888 51.539365,-0.137914 51.539357,-0.137905 51.539348,-0.137923 51.539342,-0.13794 51.539361,-0.13795 51.539357,-0.137943 51.539347,-0.137971 51.539339,-0.137962 51.539328,-0.137985 51.539321,-0.138002 51.539341,-0.138014 51.539337,-0.138007 51.539327,-0.13803 51.539319,-0.138022 51.539309,-0.138044 51.539302,-0.13806 51.539321,-0.138072 51.539317,-0.138064 51.539307,-0.138089 51.5393,-0.138081 51.53929,-0.1381 51.539284,-0.138116 51.539303,-0.138128 51.539299,-0.138119 51.539289,-0.138148 51.53928,-0.138156 51.539289,-0.138184 51.53928,-0.138176 51.53927,-0.138203 51.539262,-0.138195 51.539252,-0.138217 51.539245,-0.138233 51.539264,-0.138243 51.539261,-0.138235 51.539251,-0.138264 51.539242,-0.138273 51.539251,-0.138303 51.539241,-0.138295 51.539232,-0.138324 51.539222,-0.138315 51.539213,-0.138336 51.539206,-0.138352 51.539225,-0.138362 51.539221,-0.138354 51.539213,-0.138381 51.539203,-0.138384 51.539207,-0.138437 51.53927,-0.138413 51.539279,-0.138424 51.539292,-0.138392 51.539303,-0.138381 51.539289,-0.138354 51.539298,-0.138366 51.539311,-0.138332 51.539322,-0.138321 51.539309,-0.138296 51.539317,-0.138308 51.539331,-0.138269 51.539343,-0.138258 51.53933,-0.138235 51.539337,-0.138246 51.539351,-0.138214 51.539362,-0.138202 51.539348,-0.138178 51.539356,-0.138188 51.53937,-0.138156 51.53938,-0.138145 51.539367,-0.138118 51.539376,-0.138128 51.539389,-0.138096 51.539399,-0.138086 51.539386,-0.138063 51.539394,-0.138072 51.539407,-0.138038 51.539418,-0.138027 51.539406,-0.137996 51.539416,-0.138007 51.53943,-0.13798 51.539438,-0.137969 51.539425,-0.137945 51.539433,-0.137954 51.539446,-0.137922 51.539457,-0.137911 51.539444,-0.137885 51.539453,-0.137895 51.539466,-0.137866 51.539475,-0.137855 51.539462,-0.137831 51.53947,-0.137842 51.539484,-0.137806 51.539496,-0.137795 51.539482,-0.137768 51.539491,-0.13778 51.539505,-0.137744 51.539517,-0.137732 51.539503,-0.137711 51.539509,-0.137722 51.539524,-0.137689 51.539534,-0.137676 51.539521,-0.137654 51.539528,-0.137666 51.539542,-0.137629 51.539555,-0.137617 51.53954,-0.137593 51.539548,-0.137605 51.539563,-0.137573 51.539573,-0.137561 51.539558,-0.137536 51.539566,-0.137548 51.539581,-0.137517 51.539592,-0.137503 51.539577,-0.137499 51.539578,-0.137453 51.539521,-0.137489 51.539509,-0.137482 51.539501,-0.137506 51.539494))"
LB549,(North side) Nos.32-53 (Consecutive) and attached railings,1342068,II,,1974-05-14,,,"POLYGON ((-0.13725 51.53978,-0.137304 51.539764,-0.137313 51.539773,-0.137336 51.539766,-0.137328 51.539755,-0.137363 51.539744,-0.137372 51.539754,-0.137399 51.539745,-0.13739 51.539735,-0.137423 51.539725,-0.137431 51.539735,-0.137451 51.539729,-0.137442 51.539719,-0.137483 51.539706,-0.13749 51.539716,-0.137513 51.539709,-0.137505 51.539698,-0.137544 51.539686,-0.137552 51.539696,-0.137579 51.539688,-0.137572 51.539677,-0.13761 51.539665,-0.137618 51.539675,-0.137644 51.539667,-0.137635 51.539656,-0.137669 51.539646,-0.137679 51.539656,-0.137695 51.539651,-0.137686 51.53964,-0.13773 51.539626,-0.137739 51.539636,-0.137761 51.539629,-0.137752 51.539618,-0.13779 51.539606,-0.137799 51.539617,-0.137825 51.539609,-0.137815 51.539598,-0.137855 51.539584,-0.137864 51.539596,-0.137891 51.539587,-0.137882 51.539576,-0.137915 51.539565,-0.137926 51.539576,-0.137953 51.539567,-0.137944 51.539556,-0.13798 51.539545,-0.137989 51.539555,-0.138018 51.539546,-0.138008 51.539534,-0.138042 51.539525,-0.138051 51.539535,-0.138077 51.539527,-0.138067 51.539515,-0.138108 51.539503,-0.138117 51.539514,-0.138138 51.539507,-0.138129 51.539495,-0.13817 51.539483,-0.138179 51.539493,-0.138216 51.539482,-0.138217 51.539482,-0.138208 51.53947,-0.138231 51.539462,-0.138269 51.53945,-0.138277 51.539462,-0.138304 51.539453,-0.138297 51.539442,-0.138331 51.53943,-0.138341 51.539441,-0.138363 51.539434,-0.138355 51.539422,-0.138391 51.53941,-0.138401 51.539421,-0.138423 51.539415,-0.138413 51.539403,-0.13845 51.539391,-0.138458 51.539403,-0.138483 51.539395,-0.138473 51.539384,-0.138519 51.539369,-0.138526 51.539381,-0.138544 51.539375,-0.138534 51.539364,-0.138567 51.539353,-0.138575 51.539365,-0.138599 51.539357,-0.138654 51.539423,-0.138601 51.53944,-0.138539 51.53946,-0.138515 51.539468,-0.138511 51.539461,-0.138474 51.539474,-0.138413 51.539494,-0.138426 51.539508,-0.138398 51.539517,-0.138387 51.539503,-0.138354 51.539513,-0.138291 51.539533,-0.138278 51.539536,-0.138288 51.539547,-0.138276 51.539552,-0.138267 51.53954,-0.138228 51.539552,-0.138188 51.539565,-0.138198 51.539577,-0.138176 51.539584,-0.138167 51.539574,-0.138126 51.539586,-0.138139 51.539601,-0.138113 51.539609,-0.138101 51.539594,-0.138058 51.539608,-0.13807 51.539623,-0.138052 51.539629,-0.138039 51.539615,-0.138006 51.539626,-0.138035 51.539659,-0.138003 51.53967,-0.137974 51.539636,-0.137942 51.539647,-0.137971 51.53968,-0.137943 51.53969,-0.137934 51.53968,-0.137907 51.539689,-0.137887 51.539664,-0.137866 51.539671,-0.137879 51.539687,-0.137862 51.539693,-0.137869 51.539701,-0.137845 51.539708,-0.137825 51.539684,-0.137806 51.53969,-0.137818 51.539705,-0.137801 51.539711,-0.137809 51.539721,-0.137788 51.539727,-0.137767 51.539703,-0.137744 51.53971,-0.137757 51.539726,-0.137741 51.539731,-0.137748 51.53974,-0.137724 51.539747,-0.137704 51.539724,-0.137684 51.53973,-0.137697 51.539745,-0.13768 51.539751,-0.137666 51.539735,-0.137602 51.539756,-0.137564 51.539769,-0.137573 51.539781,-0.13755 51.539788,-0.137537 51.539773,-0.1375 51.539784,-0.137511 51.539798,-0.137489 51.539804,-0.137478 51.539792,-0.137419 51.539811,-0.137361 51.53983,-0.13733 51.53984,-0.137321 51.53983,-0.137267 51.539846,-0.13721 51.539822,-0.137209 51.539822,-0.137208 51.539822,-0.137207 51.539821,-0.137206 51.539821,-0.137205 51.539821,-0.137205 51.53982,-0.137204 51.539819,-0.137203 51.539819,-0.137203 51.539818,-0.137203 51.539817,-0.137202 51.539817,-0.137202 51.539815,-0.137203 51.539814,-0.137203 51.539812,-0.137204 51.539812,-0.137204 51.539811,-0.137205 51.53981,-0.137205 51.539809,-0.13721 51.539807,-0.137211 51.539806,-0.137212 51.539806,-0.137213 51.539805,-0.137259 51.53979,-0.13725 51.53978))"
LB550,(West side) Nos.15-31 (Odd),1342069,II,,1974-05-14,,,"POLYGON ((-0.147746 51.53733,-0.147852 51.537239,-0.147857 51.537238,-0.147861 51.537238,-0.147871 51.537239,-0.147876 51.53724,-0.147881 51.537241,-0.147888 51.537244,-0.147889 51.537246,-0.147891 51.537248,-0.147892 51.53725,-0.147893 51.537252,-0.147896 51.537257,-0.147938 51.537271,-0.147923 51.537289,-0.147959 51.537301,-0.147974 51.537283,-0.148012 51.537296,-0.147999 51.537313,-0.148039 51.537326,-0.148054 51.537309,-0.148092 51.537322,-0.148078 51.537339,-0.148113 51.537349,-0.148126 51.537333,-0.148166 51.537347,-0.148152 51.537363,-0.148198 51.537378,-0.14824 51.537392,-0.148254 51.537375,-0.148293 51.537387,-0.148278 51.537405,-0.148308 51.537414,-0.148325 51.537398,-0.148363 51.537409,-0.148346 51.537427,-0.148385 51.537439,-0.148398 51.537422,-0.148435 51.537433,-0.148421 51.53745,-0.148466 51.537464,-0.148479 51.537446,-0.148513 51.537458,-0.148499 51.537475,-0.148533 51.537486,-0.148546 51.537469,-0.148584 51.537482,-0.148564 51.537508,-0.148507 51.53758,-0.148499 51.53759,-0.148475 51.537582,-0.148483 51.537574,-0.14843 51.537555,-0.148421 51.537566,-0.148391 51.537556,-0.1484 51.537545,-0.148353 51.53753,-0.148344 51.537541,-0.148317 51.537532,-0.148325 51.537521,-0.148276 51.537506,-0.148267 51.537515,-0.148238 51.537506,-0.148247 51.537496,-0.148208 51.537483,-0.148199 51.537492,-0.148165 51.53748,-0.148173 51.537471,-0.148129 51.537457,-0.148073 51.537438,-0.148065 51.537448,-0.148036 51.537439,-0.148044 51.53743,-0.147995 51.537413,-0.147986 51.537422,-0.147964 51.537415,-0.147972 51.537405,-0.147921 51.537389,-0.147913 51.537398,-0.147886 51.537389,-0.147894 51.537379,-0.147847 51.537362,-0.147838 51.537373,-0.147811 51.537364,-0.147819 51.537355,-0.147746 51.53733))"
LB1687,(East side) Nos.13-20 (Consecutive),1342070,II,,1974-05-14,,,"MULTIPOLYGON (((-0.15802 51.545571,-0.15803 51.545565,-0.158059 51.545545,-0.158079 51.545558,-0.158051 51.545576,-0.158041 51.545583,-0.158083 51.545608,-0.158129 51.545634,-0.158138 51.545627,-0.158158 51.545639,-0.158149 51.545646,-0.158155 51.545649,-0.158047 51.545722,-0.157975 51.545681,-0.157906 51.545641,-0.158014 51.545568,-0.15802 51.545571)),((-0.157848 51.545494,-0.157858 51.545488,-0.157875 51.545498,-0.157866 51.545505,-0.157909 51.545529,-0.157949 51.545552,-0.157958 51.545547,-0.157977 51.545558,-0.157969 51.545564,-0.157973 51.545566,-0.157869 51.545636,-0.157806 51.545599,-0.157739 51.54556,-0.157842 51.545491,-0.157848 51.545494)),((-0.158336 51.545842,-0.158268 51.545804,-0.158379 51.545727,-0.158385 51.54573,-0.158392 51.545726,-0.15841 51.545736,-0.158403 51.545741,-0.158446 51.545765,-0.158492 51.545791,-0.1585 51.545786,-0.158516 51.545795,-0.15851 51.545801,-0.158517 51.545804,-0.158407 51.545881,-0.158336 51.545842)),((-0.158333 51.545725,-0.15834 51.545729,-0.158232 51.545803,-0.158162 51.545763,-0.158097 51.545726,-0.158206 51.545652,-0.158209 51.545654,-0.158219 51.545648,-0.158239 51.545659,-0.15823 51.545665,-0.158272 51.54569,-0.158316 51.545715,-0.158327 51.545708,-0.158344 51.545717,-0.158333 51.545725)))"
LB1424,(South West side) No.65 The Engineer Public House and attached wall,1342071,II,,1999-12-30,,,"POLYGON ((-0.150952 51.539976,-0.150957 51.539971,-0.150986 51.539983,-0.150973 51.539995,-0.15085 51.540106,-0.150689 51.540037,-0.150715 51.540014,-0.150739 51.539993,-0.150763 51.539972,-0.150807 51.539935,-0.150827 51.539944,-0.150801 51.539966,-0.150889 51.540007,-0.150923 51.539978,-0.150924 51.539977,-0.150924 51.539976,-0.150927 51.539975,-0.150928 51.539975,-0.15093 51.539973,-0.150931 51.539973,-0.150932 51.539973,-0.150933 51.539973,-0.150934 51.539972,-0.150936 51.539972,-0.150938 51.539972,-0.150939 51.539972,-0.150941 51.539972,-0.150944 51.539972,-0.150944 51.539973,-0.150946 51.539973,-0.150947 51.539974,-0.150948 51.539974,-0.150949 51.539974,-0.15095 51.539975,-0.150951 51.539975,-0.150952 51.539976))"
LB468,The Rocket Public House,1342072,II,,1974-05-14,,,"POLYGON ((-0.128978 51.528413,-0.129022 51.528396,-0.129056 51.528383,-0.129048 51.528375,-0.129037 51.528364,-0.128851 51.528181,-0.128788 51.528208,-0.128787 51.528226,-0.128978 51.528413))"
LB551,Camden Incline Winding Engine House,1342073,II*,,1990-06-18,,,"POLYGON ((-0.150357 51.540949,-0.150796 51.5407,-0.150744 51.540669,-0.150726 51.540678,-0.150246 51.540327,-0.149853 51.540542,-0.150335 51.540908,-0.150311 51.540917,-0.150357 51.540949))"
LB416,(North East side) Nos.186 AND 187,1342087,II,,1973-01-15,,,"POLYGON ((-0.123893 51.515939,-0.12395 51.515976,-0.124002 51.516008,-0.123894 51.516073,-0.123865 51.516055,-0.12386 51.516059,-0.123849 51.516071,-0.123825 51.516086,-0.123814 51.516078,-0.12379 51.516093,-0.123826 51.516114,-0.123736 51.516168,-0.123734 51.516167,-0.123703 51.516134,-0.123648 51.516166,-0.1236 51.516138,-0.123699 51.516075,-0.123682 51.516064,-0.123688 51.516061,-0.123893 51.515939))"
LB360,(East side) No.106,1356771,II,,1974-05-14,,,"POLYGON ((-0.141396 51.522975,-0.141424 51.523006,-0.141488 51.522975,-0.141583 51.522928,-0.141518 51.522875,-0.141406 51.522922,-0.141417 51.522932,-0.141442 51.522952,-0.141396 51.522975))"
LB552,(East side) Nos.1 AND 2,1342075,II,,1999-12-30,,,"POLYGON ((-0.146035 51.537597,-0.146037 51.537593,-0.146026 51.537586,-0.146034 51.53757,-0.14605 51.537568,-0.146053 51.537562,-0.14608 51.537513,-0.146063 51.53751,-0.146071 51.537494,-0.146173 51.537516,-0.146166 51.537531,-0.146183 51.537535,-0.146156 51.537584,-0.14613 51.537633,-0.14611 51.53763,-0.146102 51.537644,-0.146087 51.53764,-0.146074 51.537663,-0.146007 51.537646,-0.145954 51.537633,-0.145853 51.537602,-0.14586 51.537589,-0.145883 51.537594,-0.145891 51.537579,-0.145967 51.537596,-0.145973 51.53759,-0.145982 51.537592,-0.146003 51.537591,-0.146035 51.537597))"
LB553,(East side) Nos.3-22 (Consecutive),1342076,II,,1998-03-23,,,"POLYGON ((-0.145271 51.538479,-0.145271 51.538448,-0.145246 51.538448,-0.145246 51.538427,-0.145271 51.538427,-0.145274 51.538392,-0.14523 51.538387,-0.145237 51.538356,-0.14526 51.538357,-0.145267 51.538331,-0.145296 51.538332,-0.145304 51.538297,-0.145269 51.53829,-0.145279 51.538269,-0.145295 51.538236,-0.145307 51.538213,-0.145295 51.538211,-0.145311 51.53818,-0.145336 51.538186,-0.145363 51.538151,-0.145366 51.538152,-0.145388 51.538123,-0.145385 51.538122,-0.145401 51.538104,-0.145423 51.53811,-0.145451 51.53808,-0.14543 51.538072,-0.145449 51.538053,-0.145468 51.538061,-0.145496 51.538032,-0.14553 51.537997,-0.145513 51.53799,-0.145529 51.537974,-0.145546 51.537981,-0.145578 51.537948,-0.145566 51.537942,-0.145586 51.537923,-0.145607 51.537933,-0.145636 51.537907,-0.145614 51.537897,-0.145639 51.537876,-0.145662 51.537885,-0.145673 51.537875,-0.145741 51.537817,-0.145812 51.537756,-0.145822 51.537759,-0.145891 51.537701,-0.145881 51.537696,-0.145954 51.537633,-0.145999 51.537653,-0.146068 51.537686,-0.145994 51.537748,-0.146007 51.537754,-0.145958 51.537795,-0.145948 51.53779,-0.145928 51.537807,-0.145874 51.537852,-0.145865 51.537848,-0.145845 51.537864,-0.145823 51.537882,-0.145833 51.537886,-0.145786 51.537926,-0.145736 51.537968,-0.145728 51.537964,-0.145712 51.537979,-0.145693 51.537996,-0.145707 51.538002,-0.145671 51.538035,-0.145663 51.538032,-0.145617 51.538079,-0.145573 51.538126,-0.145581 51.538129,-0.145554 51.538156,-0.145544 51.538153,-0.145533 51.538167,-0.145521 51.538182,-0.145526 51.538183,-0.145505 51.538221,-0.145477 51.53827,-0.145449 51.538324,-0.145431 51.538358,-0.145424 51.538358,-0.145417 51.538374,-0.145416 51.538389,-0.145421 51.53839,-0.14542 51.53843,-0.145412 51.538429,-0.145411 51.538481,-0.14541 51.538533,-0.145416 51.538533,-0.145415 51.538564,-0.145414 51.538564,-0.145413 51.538579,-0.145417 51.538596,-0.145421 51.538596,-0.145436 51.538637,-0.145436 51.538639,-0.145431 51.53864,-0.145452 51.538695,-0.145455 51.538695,-0.145457 51.538704,-0.145477 51.538715,-0.145483 51.538732,-0.145471 51.538742,-0.145474 51.53875,-0.145444 51.538754,-0.145449 51.538767,-0.14547 51.538787,-0.145426 51.538803,-0.145423 51.538802,-0.1453 51.538742,-0.145316 51.538738,-0.145333 51.538746,-0.145339 51.538742,-0.145321 51.538731,-0.145318 51.538723,-0.145326 51.538713,-0.145283 51.538719,-0.145273 51.538693,-0.145305 51.538689,-0.145303 51.53868,-0.14533 51.538676,-0.145321 51.538655,-0.145326 51.538654,-0.145311 51.538612,-0.145255 51.538611,-0.145269 51.538575,-0.145242 51.538573,-0.145242 51.538556,-0.145268 51.538556,-0.145268 51.538532,-0.145243 51.538531,-0.145245 51.538499,-0.14527 51.538499,-0.145271 51.538479))"
LB554,(East side) No.23,1342077,II,,1999-12-30,,,"POLYGON ((-0.145434 51.538815,-0.145448 51.538829,-0.145507 51.538897,-0.145564 51.538877,-0.145532 51.538841,-0.145545 51.538836,-0.145516 51.538803,-0.145496 51.538811,-0.145482 51.538797,-0.145434 51.538815))"
LB555,(East side) Nos.24-29 (Consecutive),1342078,II,,1999-12-30,,,"POLYGON ((-0.145676 51.539109,-0.14565 51.539092,-0.14561 51.539117,-0.145581 51.539098,-0.145639 51.539062,-0.145621 51.53905,-0.145625 51.539048,-0.145663 51.539025,-0.145682 51.539037,-0.145707 51.539021,-0.145763 51.539057,-0.145818 51.539092,-0.145872 51.539127,-0.145929 51.539163,-0.145983 51.539197,-0.146037 51.539232,-0.146012 51.539247,-0.145996 51.539258,-0.146015 51.539269,-0.14599 51.539284,-0.145972 51.539272,-0.145952 51.539285,-0.14598 51.539303,-0.1459 51.539352,-0.145847 51.539315,-0.145925 51.539268,-0.145896 51.53925,-0.145864 51.539229,-0.145823 51.539254,-0.145801 51.53924,-0.145778 51.539225,-0.14582 51.539201,-0.145787 51.53918,-0.145755 51.539159,-0.145713 51.539184,-0.14569 51.539169,-0.145666 51.539154,-0.145707 51.539129,-0.145676 51.539109))"
LB556,(East side) Nos.30-35 (Consecutive),1342079,II,,1999-12-30,,,"POLYGON ((-0.14598 51.539303,-0.146003 51.539288,-0.146041 51.539296,-0.146062 51.539301,-0.146076 51.539283,-0.14609 51.539266,-0.146165 51.539285,-0.146236 51.539304,-0.146309 51.539323,-0.146381 51.539342,-0.146453 51.539361,-0.146526 51.53938,-0.146514 51.539398,-0.146504 51.539413,-0.146529 51.539419,-0.146517 51.539437,-0.146493 51.539431,-0.14648 51.53945,-0.146484 51.539451,-0.14646 51.539487,-0.146455 51.539486,-0.146445 51.539502,-0.146418 51.539495,-0.14643 51.539478,-0.146423 51.539475,-0.146447 51.53944,-0.146424 51.539434,-0.146408 51.53943,-0.146367 51.539419,-0.146346 51.539451,-0.146313 51.539442,-0.146287 51.539436,-0.146308 51.539405,-0.146276 51.539396,-0.146262 51.539393,-0.146217 51.539381,-0.146197 51.539413,-0.146166 51.539404,-0.146137 51.539397,-0.146158 51.539366,-0.146118 51.539356,-0.146076 51.539345,-0.146045 51.53939,-0.145993 51.539376,-0.145985 51.539388,-0.145927 51.539373,-0.145935 51.539362,-0.145901 51.539353,-0.1459 51.539352,-0.14598 51.539303))"
LB557,(East side) Nos.36-41 (Consecutive),1342080,II,,1999-12-30,,,"POLYGON ((-0.146568 51.539419,-0.14657 51.539406,-0.146591 51.539409,-0.146599 51.539384,-0.146677 51.539394,-0.14675 51.539402,-0.146831 51.539411,-0.146908 51.53942,-0.146987 51.53943,-0.147087 51.539441,-0.147069 51.5395,-0.147048 51.539497,-0.147031 51.539543,-0.146998 51.539539,-0.147009 51.539506,-0.146965 51.539501,-0.146919 51.539496,-0.146908 51.539529,-0.146879 51.539526,-0.146875 51.539533,-0.14687 51.539545,-0.146835 51.53954,-0.14685 51.539489,-0.14681 51.539484,-0.146763 51.539478,-0.146753 51.539511,-0.146719 51.539507,-0.146688 51.539503,-0.146698 51.539472,-0.146656 51.539467,-0.146609 51.539461,-0.146599 51.539493,-0.146564 51.539488,-0.146567 51.539475,-0.146512 51.539468,-0.146537 51.53944,-0.146548 51.539416,-0.146568 51.539419))"
